port_id,pso_lat,pso_lon
CNNGB,29.74964581,122.9214478
CNNGB,29.74409041,122.8957812
CNNGB,29.73894285,122.8632489
CNNGB,29.73324502,122.8305265
CNNGB,29.72773811,122.797839
CNNGB,29.72671948,122.7655303
CNNGB,29.72711367,122.7366181
CNNGB,29.72934613,122.7032218
CNNGB,29.73154978,122.6743395
CNNGB,29.73496872,122.6465076
CNNGB,29.74106286,122.6216909
CNNGB,29.74621475,122.5959827
CNNGB,29.75329525,122.5772529
CNNGB,29.73903233,122.5486155
CNNGB,29.74779285,122.4224099
CNNGB,29.79594514,122.3128518
CNNGB,29.82899726,122.2176854
CNNGB,29.88245579,122.1392734
CNNGB,29.94488762,122.0675262
CNNGB,29.95975641,121.9581522
CNNGB,29.93858301,121.8951757
CNNJI,36.15621572,128.1017972
CNNJI,36.43488012,135.3675712
CNNJI,36.2314608,139.7233798
CNNJI,36.77785521,143.5291975
CNNJI,38.2038965,143.7533305
CNNJI,39.79163925,139.5003479
CNNJI,40.66008912,136.9810446
CNNJI,37.20450517,137.7602971
CNNJI,34.28426508,143.0851276
CNNJI,30.63749324,148.9743254
CNNJI,34.60418189,162.0300376
CNNJI,39.36668413,176.4821126
CNNJI,43.46542299,191.9825303
CNNJI,48.49658526,210.2689464
CNNJI,50.70408385,225.4490844
CNNJI,52.39842915,242.3367344
CNNJI,56.6016205,257.6362077
CNNJI,59.71496685,272.8163993
CNNJI,60.75874923,290.340362
CNNJI,59.14877956,301.2824426
CNNJI,60.56194561,305.856199
CNNJI,63.83983043,306.6761797
CNNJI,67.05532567,310.3492854
CNNJI,69.88941994,311.6595518
CNNJI,71.02525858,312.7809755
CNNJI,71.67056516,311.690657
CNNJI,73.03245319,311.8483894
CNNJI,75.85423417,310.9514557
CNNJI,82.22213208,306.8330703
CNNJI,87.64278918,299.1385275
CNNJI,96.06768533,296.4253567
CNNJI,102.3940917,291.3051407
CNNJI,108.9053986,286.2471224
CNNJI,114.1380777,281.0671846
CNNJI,120.1954645,276.3954585
CNNJI,128.7285488,275.1775034
CNNJI,135.3929681,271.9367821
CNNJI,139.1377404,265.1714625
CNNJI,143.026249,260.5432071
CNNJI,147.375833,257.7438091
CNNJI,146.8021682,254.454891
CNNJI,149.1977323,254.1075951
CNNJI,152.0338586,254.09503
CNNJI,152.8962084,253.3531349
CNNJI,150.0398759,257.8588967
CNNJI,149.1850323,260.4822338
CNNJI,152.1383763,258.2830592
CNNJI,152.3716745,254.2431822
CNNJI,149.7341953,256.4244256
CNNJI,144.0093757,253.2429601
CNNJI,131.7869054,259.1188736
